fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
175617,The Grapes,"12 Mossfield Road, Farnworth, Bolton",BL4 0AB,372905,405828.0,53.548381,-2.410398,Bolton
175618,The Grapes Hotel,"47 Market Street, Stoneclough Radcliffe, Bolton",M26 1HF,375636,405559.0,53.546097,-2.369161,Bolton
175621,The Grey Man,"88-90 Hindley Road, Westhoughton, Bolton",BL5 2JS,365646,404383.0,53.534967,-2.51979,Bolton
175622,The Greyhound Hotel,"564-566 Manchester Road, Bolton",BL3 2PJ,373161,407153.0,53.560312,-2.406649,Bolton
175623,The Greyhound Inn,"146 Deansgate, Bolton",BL1 1BB,371370,409244.0,53.579002,-2.433879,Bolton
175625,The Griffin,"43-45 Great Moor Street, Bolton",BL1 1SW,371669,408918.0,53.576079,-2.429333,Bolton
175630,The Horseshoe,"Fold Road, Stoneclough Radcliffe, Bolton",M26 1FT,376392,405230.0,53.543175,-2.357727,Bolton
175638,The Lord Clyde,"107-109 Folds Road, Bolton",BL1 2SZ,372058,409641.0,53.582598,-2.423523,Bolton
175640,The Market,"11 Brackley Street, Farnworth, Bolton",BL4 9DS,373967,405742.0,53.547661,-2.394363,Bolton
175642,The Masons Arms,"156-158 Blackburn Road, Egerton, Bolton",BL7 9SB,371114,414464.0,53.625905,-2.438231,Bolton
175644,The Moses Gate,"5 Bolton Road, Farnworth, Bolton",BL4 7JU,373554,406709.0,53.556341,-2.400679,Bolton
175645,The Moss Rose,"1 Manchester Road, Kearsley, Bolton",BL4 8QG,375274,404833.0,53.539555,-2.374566,Bolton
175648,The New Inn,"56 Church Street, Little Lever, Bolton",BL3 1BE,375294,407425.0,53.562862,-2.37447,Bolton
175652,The Old Original Bay Horse,"206 Lee Lane, Horwich, Bolton",BL6 7JF,363510,411846.0,53.601899,-2.55289,Bolton
175653,The Old Three Crowns,"14 Deansgate, Bolton",BL1 1BR,371796,409345.0,53.579933,-2.427454,Bolton
175661,The Pineapple Inn,"562 Blackburn Road, Bolton",BL1 7AL,371485,411823.0,53.602188,-2.432378,Bolton
175663,The Post Office,"57-61 Bradshawgate, Bolton",BL1 1DR,371871,409158.0,53.578247,-2.426304,Bolton
175664,The Post Office,"10 Higher Market Street, Farnworth, Bolton",BL4 9AJ,374128,405587.0,53.546276,-2.391906,Bolton
175665,The Railway,"Chapeltown Road, Bromley Cross, Bolton",BL7 9LY,372885,413192.0,53.614567,-2.411343,Bolton
175668,The Red Lion,"101 Church Street, Blackrod, Bolton",BL6 5EF,361425,410986.0,53.594019,-2.584289,Bolton
175670,The Rivington Pub and Grill,"159 Station Road, Blackrod, Bolton",BL6 5JF,362395,410531.0,53.590001,-2.569579,Bolton
175672,The Roundhouse,"Kenton Close, Bolton",BL1 3TZ,371013,410485.0,53.590127,-2.439386,Bolton
175674,The Royal Oak,"480 Chorley Road, Westhoughton, Bolton",BL5 3ND,363731,408338.0,53.570376,-2.549141,Bolton
175680,The Shots Bar & Grill,"55 Bradshawgate, Bolton",BL1 1DR,371871,409158.0,53.578247,-2.426304,Bolton
175681,The Soundhouse,"Ash Street, Bolton",BL2 1DG,372191,408781.0,53.574876,-2.421438,Bolton
175683,The Spinning Mule,"Nelson Square, Bolton",BL1 1JT,371835,409071.0,53.577472,-2.42684,Bolton
175685,The Star,"11 Bow Street, Bolton",BL1 2EQ,371774,409494.0,53.581271,-2.4278,Bolton
175687,The Tap,"68-70 Belmont Road, Bolton",BL1 7AN,371343,412036.0,53.604086,-2.434544,Bolton
175689,The Tempest Arms,"1110 Chorley Old Road, Bolton",BL1 5SE,368287,410691.0,53.591829,-2.480588,Bolton
175690,The Thomas Egerton,"272 Blackburn Road, Egerton, Bolton",BL7 9SR,370931,414904.0,53.62985,-2.441039,Bolton
175691,The Toll Bar,"2 Chorley New Road, Horwich, Bolton",BL6 7QH,363426,411789.0,53.60138,-2.554153,Bolton
175695,The Venue Bar,"14-18 Churchgate, Bolton",BL1 1HL,371913,409285.0,53.5794,-2.425681,Bolton
175698,The Vulcan,"10-12 Junction Road, Bolton",BL3 4LT,369401,408045.0,53.568114,-2.463498,Bolton
175699,The Wheatsheaf,"106 Market Street, Westhoughton, Bolton",BL5 3AZ,365363,405960.0,53.549131,-2.524235,Bolton
175700,The White Horse,"177 Stitch Mi Lane, Bolton",BL2 4HT,374540,410944.0,53.594437,-2.386142,Bolton
175701,The York,"112-114 Newport Street, Bolton",BL3 6AB,371741,408771.0,53.574771,-2.428232,Bolton
175708,Three Pigeons,"818-820 Wigan Road, Bolton",BL3 4RD,368497,407320.0,53.561553,-2.477074,Bolton
175716,Tonge & Breightmet Conservative Club,"449 Bury Road, Bolton",BL2 6DF,373595,409433.0,53.580809,-2.400291,Bolton
175718,Tonge Cricket Club,"Crompton Way, Bolton",BL2 3BJ,372962,411371.0,53.598195,-2.41002,Bolton
175719,Tonge Moor Conservative Club,"Tonge Moor Road, Bolton",BL2 2HN,372815,410435.0,53.589775,-2.412159,Bolton
175734,Tramways Hotel,"307 Blackburn Road, Bolton",BL1 8DY,371505,411013.0,53.594909,-2.432002,Bolton
175736,Trinity,"Unit 3, Provincial House, Nelson Square, Bolton",BL1 1JT,371835,409071.0,53.577472,-2.42684,Bolton
175758,Unity Brook Inn,"452-454 Manchester Road, Kearsley, Bolton",BL4 8RX,376294,404030.0,53.532384,-2.359115,Bolton
175770,Victoria & Albert,"114 Lee Lane, Horwich, Bolton",BL6 7AF,363694,411771.0,53.601237,-2.550101,Bolton
175771,Victoria Hotel,"42-44 Market Street, Farnworth, Bolton",BL4 7NY,373922,405978.0,53.54978,-2.395062,Bolton
175772,Victoria Inn,"27 Market Street, Westhoughton, Bolton",BL5 3AH,365589,405892.0,53.548526,-2.520816,Bolton
175773,Victoria Inn,"26 Markland Hill, Bolton",BL1 5AG,368505,409703.0,53.582963,-2.477194,Bolton
175777,Victory Reform Club,"25 Victory Street, Bolton",BL1 4JA,370301,409933.0,53.585126,-2.450089,Bolton
175793,Volunteer Inn,"276 Radcliffe Road, Bolton",BL3 1RS,373420,408083.0,53.568675,-2.402819,Bolton
175799,Waggon and Horses,"170 Chorley Road, Westhoughton, Bolton",BL5 3PN,364848,407494.0,53.562866,-2.53218,Bolton
175815,Weavers Arms,"8 Brunel Street, Bolton",BL1 8AS,370919,411077.0,53.595452,-2.440861,Bolton
175821,Wellington Inn,"56 Market Street, Farnworth, Bolton",BL4 7NY,373922,405978.0,53.54978,-2.395062,Bolton
175825,Westhoughton Conservative Club,"12 Tithe Barn Street, Westhoughton, Bolton",BL5 3TF,365391,406152.0,53.550849,-2.523833,Bolton
175833,Westhoughton Sports & Social,"Park Road, Westhoughton, Bolton",BL5 3DE,365706,405836.0,53.54803,-2.519044,Bolton
175836,White Horse Tavern,"259 Bolton Road, Westhoughton, Bolton",BL5 3ED,366192,406473.0,53.553787,-2.511779,Bolton
175837,White Lion Hotel,"2 Market Street, Westhoughton, Bolton",BL5 3AN,365569,405938.0,53.548938,-2.521123,Bolton
175838,White Tiger Bar,"141 Lee Lane, Horwich, Bolton",BL6 7AG,363736,411788.0,53.601393,-2.549468,Bolton
175849,Wilton Arms,"883-885 Belmont Road, Bolton",BL1 7BT,369956,413448.0,53.616708,-2.455641,Bolton
175874,Yates,"34-36 Bradshawgate, Bolton",BL1 1DG,371812,409259.0,53.579161,-2.427205,Bolton
175876,Ye Olde Man and Scythe,"6-8 Churchgate, Bolton",BL1 1HL,371913,409285.0,53.5794,-2.425681,Bolton
175878,Ye Olde Three Crowns,"27 Higher Market Street, Farnworth, Bolton",BL4 8HQ,374205,405499.0,53.545489,-2.390751,Bolton
